job id,responsibilities,qualifications,requirements,experience,skills,teamwork,communication,leadership,initiative,collaboration,deadline,performance,strategy,analysis,development,management,problem-solving,adaptability,organization,efficiency,innovation,training,certification,compliance,productivity,customer-focused,detail-oriented,multitasking,accountability,results-driven
4821,0.73,0.64,0.81,0.55,0.92,0.68,0.77,0.49,0.83,0.71,0.66,0.79,0.58,0.74,0.69,0.62,0.85,0.57,0.72,0.63,0.88,0.54,0.61,0.76,0.82,0.67,0.75,0.59,0.78,0.84
915,0.61,0.82,0.75,0.68,0.79,0.72,0.65,0.88,0.57,0.83,0.69,0.74,0.66,0.81,0.64,0.77,0.73,0.59,0.85,0.62,0.78,0.71,0.67,0.84,0.76,0.58,0.63,0.72,0.86,0.68
23014,0.88,0.79,0.67,0.72,0.85,0.91,0.74,0.68,0.77,0.82,0.63,0.86,0.71,0.65,0.89,0.73,0.78,0.66,0.84,0.75,0.69,0.92,0.61,0.83,0.70,0.87,0.64,0.76,0.81,0.68
74,0.55,0.61,0.49,0.72,0.63,0.58,0.66,0.54,0.71,0.60,0.57,0.68,0.62,0.53,0.65,0.59,0.67,0.56,0.64,0.52,0.69,0.51,0.48,0.70,0.73,0.55,0.60,0.58,0.62,0.66
5839,0.92,0.87,0.78,0.84,0.89,0.93,0.86,0.81,0.88,0.90,0.77,0.91,0.85,0.79,0.94,0.83,0.82,0.80,0.95,0.76,0.88,0.87,0.75,0.89,0.84,0.92,0.78,0.86,0.90,0.91
1602,0.68,0.74,0.71,0.69,0.77,0.72,0.75,0.66,0.73,0.70,0.65,0.76,0.72,0.68,0.74,0.71,0.78,0.69,0.75,0.67,0.73,0.70,0.66,0.77,0.72,0.74,0.71,0.69,0.76,0.73
99873,0.81,0.69,0.77,0.85,0.88,0.82,0.79,0.91,0.74,0.86,0.80,0.84,0.78,0.83,0.87,0.76,0.89,0.75,0.90,0.77,0.85,0.88,0.73,0.86,0.81,0.89,0.76,0.82,0.88,0.84
321,0.59,0.63,0.66,0.61,0.68,0.64,0.62,0.60,0.67,0.65,0.58,0.69,0.64,0.63,0.66,0.61,0.70,0.62,0.67,0.60,0.68,0.65,0.59,0.69,0.64,0.66,0.63,0.61,0.68,0.65
45210,0.77,0.84,0.79,0.83,0.86,0.80,0.82,0.78,0.85,0.88,0.76,0.87,0.81,0.80,0.89,0.77,0.90,0.79,0.88,0.75,0.84,0.86,0.74,0.87,0.82,0.90,0.78,0.83,0.89,0.86
18,0.62,0.58,0.55,0.60,0.64,0.61,0.59,0.57,0.63,0.60,0.56,0.65,0.61,0.59,0.62,0.58,0.66,0.60,0.63,0.57,0.64,0.61,0.55,0.65,0.60,0.62,0.59,0.58,0.64,0.61
7745,0.85,0.81,0.88,0.79,0.90,0.86,0.84,0.82,0.87,0.89,0.80,0.91,0.83,0.85,0.92,0.81,0.88,0.84,0.90,0.79,0.87,0.86,0.78,0.89,0.85,0.91,0.82,0.86,0.90,0.88
609,0.70,0.66,0.72,0.68,0.75,0.71,0.69,0.67,0.74,0.73,0.65,0.76,0.70,0.71,0.77,0.68,0.78,0.72,0.74,0.66,0.73,0.71,0.64,0.75,0.70,0.77,0.68,0.72,0.76,0.74
24198,0.88,0.85,0.82,0.86,0.91,0.89,0.87,0.83,0.90,0.92,0.81,0.93,0.86,0.88,0.94,0.84,0.91,0.87,0.92,0.80,0.89,0.90,0.79,0.91,0.86,0.93,0.84,0.88,0.92,0.90
55,0.53,0.57,0.60,0.55,0.62,0.58,0.56,0.54,0.61,0.59,0.52,0.63,0.57,0.56,0.60,0.55,0.64,0.58,0.61,0.54,0.62,0.59,0.53,0.63,0.57,0.60,0.56,0.55,0.62,0.59
8888,0.79,0.83,0.81,0.78,0.86,0.82,0.80,0.77,0.84,0.85,0.76,0.88,0.81,0.82,0.89,0.79,0.87,0.80,0.85,0.75,0.83,0.84,0.74,0.86,0.81,0.88,0.78,0.82,0.87,0.85
3027,0.66,0.70,0.68,0.65,0.73,0.69,0.67,0.64,0.71,0.70,0.63,0.74,0.68,0.69,0.75,0.66,0.76,0.69,0.72,0.64,0.71,0.70,0.62,0.73,0.68,0.75,0.66,0.70,0.74,0.72
120,0.58,0.62,0.61,0.57,0.65,0.63,0.60,0.59,0.64,0.62,0.55,0.66,0.61,0.60,0.64,0.58,0.67,0.61,0.63,0.56,0.65,0.62,0.54,0.66,0.61,0.64,0.60,0.59,0.65,0.63
67432,0.91,0.88,0.85,0.89,0.93,0.90,0.89,0.87,0.92,0.94,0.84,0.95,0.88,0.90,0.96,0.86,0.93,0.89,0.94,0.83,0.91,0.92,0.82,0.93,0.88,0.95,0.87,0.90,0.94,0.92
403,0.64,0.67,0.65,0.62,0.70,0.68,0.66,0.63,0.69,0.68,0.61,0.71,0.66,0.67,0.72,0.64,0.73,0.67,0.69,0.62,0.70,0.68,0.60,0.71,0.66,0.72,0.64,0.67,0.71,0.69
99999,0.95,0.92,0.90,0.94,0.97,0.96,0.94,0.91,0.96,0.98,0.89,0.99,0.93,0.95,0.99,0.92,0.97,0.94,0.98,0.88,0.96,0.97,0.87,0.97,0.93,0.99,0.91,0.95,0.98,0.97